Sudbury;17,659;Town Meeting adopted 4/6/10;1/1/2011
Sunderland;3,684;Town Meeting adopted 4/27/12;1/1/2013
Sutton;8,963;Town Meeting adopted 5/9/11;1/1/2012
Swampscott;13,787;Town Meeting adopted 5/3/10;1/1/2011
Tewksbury;28,961;Town Meeting adopted 5/4/11;1/1/2012
Tisbury;3,949;Town Meeting adopted 4/12/11;1/1/2012
Topsfield;6,085;Town Meeting adopted 5/3/11;1/1/2012
Townsend;8,926;Town Meeting adopted 11/15/11;7/1/2012
Truro;2,003;Town Meeting adopted 4/26/11;1/1/2012
Tyngsborough;11,292;Town Meeting adopted 3/02/10;1/1/2011
Waltham;60,632;City Council adopted 11/3/2011;7/1/2012
Watertown;31,915;Town council adopted 11/9/10;7/1/2011
Wayland;12,994;Town Meeting adopted 11/16/10;7/1/2011
Wellesley;27,982;Town Meeting adopted 4/11/11;1/1/2012
Wendell;848;Town Meeting adopted 10/18/12;1/1/2014
Wenham;4,875;Town Meeting adopted 5/1/10;1/1/2011
West Tisbury;2,740;Town Meeting adopted 4/12/12;1/1/2013
Westminster;7,277;Town Meeting adopted 11/15/11;7/1/2012
Weston;11,261;Town Meeting adopted 5/9/11;1/1/2012
Westwood;14,618;Town Meeting adopted 5/7/12;1/1/2013
Whately;1,496;Town Meeting adopted 4/24/12;1/1/2013
Williamsburg;2,482;Town Meeting adopted 6/6/11;1/1/2012
Williamstown;7,754;Town Meeting adopted 5/18/10;1/1/2011
Winchester;21,374;Town Meeting adopted 11/18/10;7/1/2011
Winthrop;17,497;Town Council adopted 5/15/12;1/1/2013
Woburn;38,120;City Council adopted 3/15/11;1/1/2012
Worcester;181,045;City Council adopted May 4,10;7/1/2011
